trial,size,distance,direction,time_ms,distance_traveled,errors
63,60,300,left,952.6431560516357,298.32200103546205,0
64,40,200,left,868.8361644744873,297.08782656715715,0
65,40,100,right,1268.6398029327393,94.73090031120549,2
66,20,300,left,814.7177696228027,303.3192947356618,0
67,40,100,right,585.707426071167,126.59610727830994,0
68,20,300,right,1103.376865386963,470.50883986960883,0
69,60,300,right,683.6037635803223,291.05660741072154,0
70,40,100,left,544.7790622711182,112.9946348212996,0
71,60,200,right,529.9370288848877,189.12266648522237,0
72,40,100,left,875.2832412719727,102.43125393614781,0
73,60,100,left,477.7379035949707,113.58115387788044,0
74,60,300,right,638.6368274688721,296.5692008245964,0
75,40,100,left,1350.5566120147705,170.58299952112222,1
76,20,300,left,1001.3008117675781,328.3953310587932,0
77,40,200,right,743.9095973968506,214.59397034199375,0
78,40,100,right,602.4062633514404,137.23510256515456,0
79,60,100,left,1093.1286811828613,212.32246430035323,1
80,20,100,left,950.0634670257568,116.83751320540696,0
81,40,100,left,957.6525688171387,281.2382121935091,0
82,40,200,left,679.3324947357178,216.93470337872205,0
83,20,100,right,835.7510566711426,166.74458021131605,0
84,40,200,left,817.681074142456,198.1789739401125,0
85,40,200,right,924.2167472839355,212.86401776511036,0
86,20,200,left,1142.1945095062256,299.79594436234316,0
87,20,300,left,951.0161876678467,436.1915883042857,0
88,40,200,left,625.380277633667,204.00997926380606,0
89,60,100,left,597.4512100219727,100.8858025805071,0
90,40,300,right,839.8535251617432,300.6383208447252,0
91,20,300,right,1230.6766510009766,584.3124180206595,0
92,60,200,left,596.1942672729492,209.02843909038825,0
93,60,200,right,796.0550785064697,363.65139946706825,0
94,60,300,left,753.9684772491455,323.53482616518585,0
95,60,300,left,643.984317779541,292.91179607121904,0
96,20,200,left,932.2209358215332,305.29775038981586,0
97,20,300,left,884.1266632080078,316.0556616766589,0
98,60,300,right,597.2962379455566,280.88368877220347,0
99,40,300,right,940.9446716308594,473.6546379206701,0
100,40,300,left,646.312952041626,328.43033516200285,0
101,40,300,right,910.6142520904541,317.33599662915793,0
102,20,300,left,916.1357879638672,308.08821920061337,0
103,40,200,right,766.1235332489014,202.68800233708527,0
104,60,200,right,823.9245414733887,338.90449469630806,0
105,20,100,left,822.7965831756592,99.54676100960856,0
106,60,200,right,659.7921848297119,207.05667904855872,0
107,40,200,right,845.0984954833984,200.63531623776683,0
108,20,200,left,1959.5539569854736,331.79284437247514,0
109,20,100,left,714.9779796600342,106.14041370128562,0
110,20,200,left,769.2413330078125,203.7946569981565,0
111,60,200,right,943.6593055725098,212.79268996300917,0
112,20,100,right,1268.3870792388916,128.32952392809526,1
113,40,200,right,831.0501575469971,209.44098715603363,0
114,40,300,right,1040.8282279968262,295.8680302503002,0
115,40,100,left,785.0103378295898,216.66821964693852,0
116,40,100,right,783.8256359100342,206.34924451106357,0
117,60,300,right,860.1894378662109,492.63658532715453,0
118,60,200,right,784.0909957885742,181.80534449417092,0
119,40,100,right,601.787805557251,105.91732526693701,0
120,40,100,left,1702.9798030853271,132.92315460969368,3
121,60,100,left,600.9767055511475,150.58702185103488,0
122,40,200,right,848.8812446594238,209.90493059413748,0
123,60,100,right,584.7957134246826,183.7022004608391,0
124,60,200,left,653.9533138275146,212.18481814248653,0
125,20,200,left,1546.4859008789062,227.6761645478718,4
126,20,100,right,850.5518436431885,111.1927879659736,0
127,40,200,left,1206.0792446136475,555.2820805646365,0
128,60,100,right,1528.7055969238281,260.54279670270483,2
129,40,200,left,988.3837699890137,327.4130153000823,0
130,20,200,left,763.3926868438721,219.16717732363577,0
131,60,200,left,757.6220035552979,196.26254542083998,0
132,40,300,left,855.4458618164062,432.3388506864748,0
133,60,100,right,600.4211902618408,143.2806959733861,0
134,20,200,right,1007.5287818908691,203.00252450808398,0
135,20,100,left,570.1737403869629,104.32499138161342,0
136,20,100,left,720.9088802337646,126.13827528493812,0
137,20,300,left,853.663444519043,302.3572871902442,0
138,60,200,left,748.1951713562012,214.38821903940175,0
139,40,300,right,918.4432029724121,419.5420935027813,0
140,20,200,right,873.3987808227539,207.08675655716462,0
141,40,300,right,776.4246463775635,325.30514052816204,0
142,40,300,right,948.641300201416,326.46456764617596,0
143,60,300,left,716.8116569519043,321.7201877737035,0
144,60,100,right,698.66943359375,225.92274866529843,0
145,40,100,right,918.4978008270264,88.19561834874477,0
146,60,100,right,763.2105350494385,189.1925516869322,0
147,20,100,left,748.8667964935303,104.00583790515778,0
148,60,200,right,715.4743671417236,187.49622946204195,0
149,40,100,left,812.8366470336914,149.7243875061759,0
150,20,100,left,1645.1828479766846,117.3296534912433,5
151,40,300,left,1625.9982585906982,440.9156629722294,6
152,20,100,right,599.9679565429688,103.28901500598141,0
153,20,200,left,666.940450668335,199.1028316171391,0
154,60,200,left,633.624792098999,208.64455583961765,0
155,60,200,right,865.6108379364014,190.2940724155281,0
156,20,300,right,966.8335914611816,393.30819597317685,0
157,60,300,left,816.1404132843018,279.1149823689483,0
158,20,200,right,1369.8654174804688,237.65643659067558,1
159,40,200,right,653.1667709350586,246.24381271873423,0
160,60,200,right,591.6597843170166,219.50598140147073,0
161,60,200,left,583.8882923126221,223.9787507566705,0
162,40,100,right,827.8086185455322,113.51779694024356,0
163,40,200,right,968.8928127288818,239.01752857811994,0
164,40,100,right,815.1755332946777,89.90328123441579,0
165,60,200,left,865.1225566864014,325.2364127133766,0
166,20,200,left,1469.1648483276367,234.8573503375777,1
167,20,100,right,882.796049118042,185.1579342099058,0
168,40,200,left,868.1275844573975,241.2010475472694,0
169,40,300,right,1108.7801456451416,361.7376578695922,0
170,40,200,right,795.7022190093994,209.41352922772967,0
171,20,200,right,864.7594451904297,218.4261832405773,0
172,40,200,left,620.9638118743896,205.84775446480688,0
173,20,300,left,877.4871826171875,298.2077790893975,0
174,20,100,right,812.7427101135254,179.86826213013643,0
175,60,300,left,685.8470439910889,310.01696081845597,0
176,20,300,right,915.8766269683838,317.54609034902023,0
177,40,300,left,901.5769958496094,312.62256706470646,0
178,60,300,right,812.9205703735352,295.52028700966423,0
179,20,200,right,938.6570453643799,452.5728458155197,0
180,40,100,left,660.4394912719727,111.91508972885275,0
