trial,size,distance,direction,time_ms,distance_traveled,errors
58,60,100,right,477.66995429992676,155.70834989164436,0
59,20,100,right,749.5613098144531,280.76943657819265,0
60,40,200,right,598.994255065918,201.65953831248262,0
61,20,100,left,718.3184623718262,117.90431512292926,0
62,20,200,left,802.2620677947998,584.3515529704997,0
63,40,100,left,597.4166393280029,202.87230582590493,0
64,40,200,right,620.3584671020508,229.61152283959856,0
65,40,100,left,531.6593647003174,87.47288655861273,0
66,60,100,left,523.9760875701904,233.29314280722926,0
67,20,100,right,648.1704711914062,155.65100257884575,0
68,60,300,left,598.0358123779297,304.3628340160225,0
69,40,200,right,557.1563243865967,211.35493559336348,0
70,60,300,right,568.9353942871094,388.99214597548934,0
71,60,200,right,462.42737770080566,473.8284268571608,0
72,20,200,right,715.8262729644775,303.39820889433145,1
73,60,200,right,544.8057651519775,347.8699906850736,0
74,60,200,right,527.5564193725586,391.9462768120885,0
75,60,300,right,796.4262962341309,439.81667610429986,1
76,40,200,left,561.5966320037842,213.85464531029746,0
77,60,100,right,529.5569896697998,264.3918508263349,0
78,20,200,left,1642.594575881958,373.5345760515097,2
79,60,200,left,481.0013771057129,272.08705752337454,0
80,40,300,left,684.624195098877,586.1189725807035,0
81,40,100,left,518.1963443756104,259.5508221591083,0
82,40,100,left,467.714786529541,198.6012636139094,0
83,40,300,right,736.5970611572266,432.9370465366886,0
84,20,300,right,952.3999691009521,475.0464820591956,0
85,60,300,right,696.6447830200195,381.9310429588732,0
86,20,300,left,745.7242012023926,494.81927402497774,0
87,20,300,left,605.7541370391846,336.15542273664244,0
88,20,100,left,662.3270511627197,145.1719663269011,0
89,20,100,right,666.1028861999512,214.95057749630487,0
90,60,100,left,473.68645668029785,83.25168157912019,0
91,40,200,right,629.0428638458252,193.30946894402268,0
92,60,200,right,566.4432048797607,220.54548518010583,0
93,60,100,left,370.6820011138916,151.35356845870962,0
94,40,100,left,614.128589630127,325.47486973582687,0
95,20,100,right,973.3180999755859,225.2554510265318,1
96,20,300,left,818.7425136566162,351.7248072427441,0
97,60,100,right,575.369119644165,165.93962961632263,0
98,40,300,left,942.4114227294922,311.0670609217819,0
99,60,200,right,607.3789596557617,208.36012645665022,0
100,60,200,right,593.6684608459473,311.7058219453946,0
101,60,300,right,618.5433864593506,517.3124107302051,0
102,40,300,left,570.0840950012207,378.19339368126344,0
103,20,100,left,707.0558071136475,497.4672236844315,0
104,40,200,left,513.5700702667236,207.338115262983,0
105,40,100,right,544.7163581848145,141.81286099136997,0
106,20,300,left,543.4932708740234,337.11991880544156,0
107,60,300,left,481.40883445739746,422.82799304410935,0
108,60,300,left,631.4330101013184,374.91291484859903,0
109,60,100,right,398.2517719268799,119.07059187961002,0
110,60,200,left,766.1337852478027,289.0983426763949,1
111,20,300,left,962.6209735870361,346.32520249663116,0
112,60,300,right,548.1269359588623,330.0189425764244,0
113,40,200,right,662.8172397613525,492.78982673208753,0
114,60,300,left,418.6406135559082,306.90378399284816,0
115,40,100,right,631.7634582519531,373.70492749370794,0
116,60,300,right,581.6400051116943,397.28075240626407,0
117,20,300,right,1065.5615329742432,557.3189543143905,1
118,40,200,right,611.1385822296143,471.90880519666274,0
119,40,300,left,710.9100818634033,307.1099175609127,0
120,40,100,right,627.1450519561768,114.06207638144188,0
121,60,100,right,733.0844402313232,293.2897703444928,0
122,20,300,right,677.2651672363281,512.0123632629036,0
123,60,100,left,614.335298538208,337.12442329217214,0
124,20,200,left,726.790189743042,284.1980787589417,0
