trial,size,distance,direction,time_ms,distance_traveled,errors
1,20,100,right,865.6306266784668,109.82706527501207,0
2,60,300,right,822.0417499542236,446.04249299495604,0
3,20,300,right,1454.7789096832275,340.9730769247395,1
4,60,300,left,830.068826675415,323.42405078405505,0
5,40,300,left,861.5529537200928,312.5985657388528,0
6,60,100,left,611.9208335876465,97.67791745603007,0
7,20,100,left,788.4774208068848,219.74433406526964,0
8,60,200,left,749.3581771850586,253.78087253214898,0
9,60,200,left,697.1297264099121,301.88485328928624,0
10,40,200,right,814.5327568054199,595.1488898105055,0
11,40,200,right,1210.270881652832,350.2993301205578,0
12,60,100,left,763.5085582733154,97.18109308901045,0
13,40,100,left,582.4418067932129,134.51939369162642,0
14,60,100,right,976.2606620788574,101.99384432667108,1
15,60,100,left,502.70915031433105,94.33284913245008,0
16,60,300,right,715.6124114990234,428.10655502149626,0
17,40,100,left,853.5172939300537,126.7809028093971,1
18,20,100,right,826.7383575439453,101.11916329804866,0
19,20,200,right,1163.5560989379883,245.688094507134,0
20,40,300,left,879.3554306030273,317.3162398630281,0
21,60,300,right,645.6360816955566,331.4397275576657,0
22,40,200,left,658.4761142730713,251.84021590246894,0
23,40,100,left,713.594913482666,169.41621051352172,0
24,20,200,right,1051.8324375152588,258.92219411933206,0
25,40,100,right,1119.7543144226074,151.66734614450812,1
26,60,100,left,510.5767250061035,88.40749314391867,0
27,40,100,right,844.4373607635498,112.8293185844967,0
28,60,100,right,668.6604022979736,196.00269476753897,0
29,60,100,left,748.5933303833008,195.5685388616805,0
30,60,300,right,668.4427261352539,316.67901518778245,0
31,20,300,right,1084.9835872650146,505.76179158695805,0
32,40,200,left,693.366527557373,209.60936071293074,0
33,20,100,left,716.8073654174805,157.5740694141713,0
34,20,300,left,898.7166881561279,314.3776763933249,0
35,20,200,right,1162.5385284423828,284.88090638560976,0
36,20,200,left,748.0556964874268,208.6042591751267,0
37,60,100,left,1522.1185684204102,206.73971289241814,2
38,40,300,left,761.2454891204834,298.2280822833088,0
39,60,300,left,610.7692718505859,321.4906613272937,0
40,60,200,left,681.7877292633057,213.6987165484676,0
41,60,300,left,677.7956485748291,303.39559641353327,0
42,40,200,right,829.6191692352295,380.64229744034833,0
43,40,200,right,832.6826095581055,250.3250426726149,0
44,60,200,right,715.4819965362549,457.88106995834283,0
45,40,300,right,952.1028995513916,297.07482311570266,0
46,40,200,left,1129.805326461792,279.9485064970055,1
47,40,200,right,635.155439376831,236.7560947793947,0
48,60,200,left,781.2838554382324,199.87869227425804,0
49,60,100,right,583.7845802307129,145.27819285630468,0
50,20,100,left,800.8475303649902,102.48998975189312,0
51,40,100,left,672.7006435394287,104.22015691739746,0
52,40,100,left,767.8108215332031,175.00330209515576,0
53,20,100,right,834.7961902618408,198.03832379165937,0
54,60,200,left,630.8939456939697,222.96611000836236,0
55,20,300,left,753.4995079040527,308.4797534408179,0
56,40,100,right,850.0921726226807,275.42676425216564,0
57,60,300,left,532.4859619140625,325.62988777461294,0
58,60,100,left,583.6529731750488,84.60056070477161,0
59,20,100,left,1852.3321151733398,121.3786029181322,4
60,60,200,right,634.5429420471191,217.4868528876968,0
61,60,100,right,651.1211395263672,93.33975767892433,0
62,40,100,left,1047.5471019744873,123.51036630073406,1
63,60,200,right,760.3449821472168,241.77104589581393,0
64,20,200,left,952.8045654296875,243.07551292181557,0
65,40,300,right,784.3170166015625,425.2494212673259,0
66,20,300,right,1158.1523418426514,406.97285596034277,0
67,40,200,left,1325.3765106201172,214.01355221647987,1
68,20,300,right,816.7932033538818,416.10260184994684,0
69,60,300,left,683.9485168457031,361.1283327261882,0
70,60,200,left,862.8542423248291,305.6471776272782,0
71,20,300,right,834.9545001983643,355.4219603473408,0
72,60,200,right,784.3344211578369,349.9873499360169,0
73,60,300,left,803.2057285308838,309.3579088085004,0
74,20,300,left,1165.56978225708,337.58403153956357,0
75,60,200,left,799.9382019042969,196.11456239047612,0
76,20,100,left,838.2995128631592,337.2734242440247,0
77,40,300,left,1331.0105800628662,352.74990770372204,1
78,20,100,left,997.1861839294434,127.4707898204764,0
79,40,100,left,668.1537628173828,111.08049487603039,0
80,40,300,left,879.3854713439941,474.1955005167369,0
81,20,100,right,1037.7614498138428,223.32882897322116,0
82,40,100,right,783.3669185638428,110.2117470374053,0
83,20,100,right,768.2082653045654,203.17247728671845,0
84,20,200,left,784.5432758331299,208.5036010822287,0
85,60,100,left,763.6446952819824,92.75800092572337,0
86,60,300,right,1009.9906921386719,309.3284166160038,0
87,40,100,right,650.6412029266357,99.31275638856552,0
88,40,200,right,848.6831188201904,398.30072315687687,0
89,60,200,right,930.3760528564453,275.85811356515796,0
90,40,300,left,897.4630832672119,350.5760498103796,0
91,20,300,left,1281.3663482666016,333.58724708991616,0
92,40,100,right,792.6347255706787,191.3719071061372,0
93,40,100,right,730.8375835418701,88.7627657662091,0
94,40,200,left,862.4749183654785,248.99716763065229,0
95,20,100,right,939.2285346984863,134.1761449804616,0
96,20,100,left,1241.529941558838,101.91929849717192,0
97,40,300,left,1050.2283573150635,365.8962441334693,0
98,40,300,right,1001.0993480682373,303.06440743197675,0
99,20,300,right,914.5717620849609,364.78933022421376,0
100,60,300,right,753.7620067596436,387.6238145444438,0
101,60,300,right,834.4731330871582,295.47306455942646,0
102,60,200,right,1150.230884552002,251.17321800002694,1
103,60,100,right,513.784646987915,106.8800707501037,0
104,40,300,right,785.6287956237793,300.3868744999319,0
105,20,200,right,873.6927509307861,201.31316893102493,0
106,40,200,right,835.019588470459,206.5727022227121,0
107,60,300,right,664.4563674926758,303.732405844352,0
108,20,200,right,1233.0060005187988,201.7612083895287,0
109,60,300,left,896.7680931091309,294.36242300570046,0
