trial,size,distance,direction,time_ms,distance_traveled,errors
144,20,100,left,850.4860401153564,98.15367240695427,0
145,20,100,right,714.9310111999512,157.34761080473498,0
146,20,300,left,2068.723201751709,383.1876983403978,1
147,20,300,left,950.4227638244629,389.412118146463,0
148,20,200,right,797.1293926239014,200.59181353882124,0
149,40,100,right,814.3899440765381,471.4605045230884,0
150,20,200,left,822.8881359100342,210.96942072925955,0
151,40,100,right,807.1808815002441,453.21213705388567,0
152,20,300,right,1034.7282886505127,334.6237121703557,0
153,60,300,right,631.598949432373,279.41945212709874,0
154,40,100,left,659.64674949646,144.28091733247751,0
155,60,300,right,664.5267009735107,327.13918909732354,0
156,20,300,right,883.028507232666,444.7125833519406,0
157,20,300,left,1672.3155975341797,433.49300125447934,1
158,40,300,right,818.0410861968994,483.98295401943966,0
159,60,300,right,691.8740272521973,278.33861789708556,0
160,20,100,left,1158.620834350586,172.03953098493415,1
161,60,300,right,719.2933559417725,306.9497332176274,0
162,40,300,left,1228.3062934875488,434.136622500504,0
163,60,100,left,564.5177364349365,201.97937278155413,0
164,40,200,left,1000.6029605865479,201.2759124951567,0
165,40,200,right,1067.8038597106934,466.2012550677807,0
166,60,100,left,633.2027912139893,177.9566638003072,0
167,40,300,left,1048.6154556274414,352.2859602226757,0
168,40,200,left,565.798282623291,205.63279566834555,0
169,40,200,left,796.4811325073242,195.34779193357076,0
170,40,200,left,1128.7240982055664,273.1355489150977,1
171,40,300,left,634.5615386962891,294.330688219925,0
172,20,100,right,1097.4006652832031,312.23956456126547,0
173,60,200,right,739.2947673797607,235.91397803739451,0
174,40,200,right,806.5798282623291,240.09614387179707,0
175,20,200,left,1582.5371742248535,406.30084794500397,1
176,20,200,right,988.9273643493652,273.1340222285921,0
177,20,200,right,902.8503894805908,284.46028829012835,0
178,40,300,left,650.7799625396729,294.27762104459055,0
179,60,200,right,752.5756359100342,317.1453681467923,0
180,60,300,left,716.4337635040283,291.6463783864316,0
